,Top,Disc,Grup,Puntuacio,Numero_Reviews,Format,Preu_Euro
0,1,Tributo a Sabina. Ni Tan Joven Ni Tan Viejo,Varios,4.7,277,CD de audio,18.99
1,2,Prometo,Pablo Alborán,4.7,181,CD de audio,3.00
2,3,Human II: Nature (2 CD's),Nightwish,3.2,5,CD de audio,17.89
3,4,Gigaton,Pearl Jam,4.4,86,CD de audio,18.99
4,5,Vanesa Martín - Todas Las Mujeres Que Habitan…,Vanesa Martín,4.6,258,CD de audio,11.24
5,6,Abbey Road - 50 Aniversario [Vinilo],The Beatles,4.8,"1,715",Disco de vinilo,24.77
6,7,"Queen Greatest Hits I, II & III - Platinum Collection",Queen,4.8,"6,363",CD de audio,26.99
7,8,The New Abnormal [Vinilo],The Strokes,0,0,Disco de vinilo,29.33
8,9,En Tus Planes,David Bisbal,4.8,121,CD de audio,14.99
9,10,La dirección de tu suerte (Ed. Firmada Limitada),Miriam Rodríguez,5.0,2,CD de audio,14.99
10,11,Fine Line,Harry Styles,4.7,"1,260",CD de audio,14.90
11,12,Legend [Vinilo],Bob Marley,4.5,"2,357",Disco de vinilo,19.99
12,13,Random Access Memories [Vinilo],Daft Punk,4.5,"2,867",Disco de vinilo,27.77
13,14,Dreams: The Collection [Vinilo],The Cranberries,4.5,20,Disco de vinilo,23.91
14,15,Beret - Prisma (Disco-Libro),Beret,4.8,243,CD de audio,11.24
15,16,Bohemian Rhapsody [Vinilo],B.S.O.,4.7,"4,107",Disco de vinilo,36.99
16,17,Bestieza,Los Enemigos,4.5,8,CD de audio,13.99
17,18,Fuego,Estopa,4.8,179,CD de audio,14.99
18,19,Sabina 70. Bookset (libro + 4 cd),Joaquin Sabina,4.8,234,CD de audio,39.90
19,20,Back To Black [Vinilo],Amy Winehouse,4.5,"1,564",Disco de vinilo,16.74
20,21,Colores,J Balvin,4.8,6,CD de audio,14.99
21,22,Hecho En México,Alejandro Fernández,4.6,27,CD de audio,12.99
22,23,The New Abnormal,The Strokes,0,0,CD de audio,13.99
23,24,The Wall (2011 - Remaster),Pink Floyd,4.6,"3,087",Disco de vinilo,29.99
24,25,Shapeshifting,Joe Satriani,3.0,3,CD de audio,16.04
25,26,100 Canciones Y Cuentos Infantiles,Joaquín Díaz,4.2,9,CD de audio,11.99
26,27,Black Panther: The Album,Varios,4.3,251,CD de audio,2.72
27,28,"Posible (Edición Limitada) (LP-Single ""Picture…",Bunbury,0,0,Disco de vinilo,26.99
28,29,Andrés Suárez - Andrés Suárez (Cd+Cd De…,Andrés Suárez,0,0,CD de audio,14.99
29,30,30 Aniversario: 1989-2019 (Box-Set + 4 CDs),Dalma,4.7,72,CD de audio,14.99
30,31,Walls,Barbra Streisand,4.6,754,CD de audio,2.83
31,32,Rosendo - Mi Tiempo Señorías…(2CD+DVD),Rosendo,4.6,28,CD de audio,20.50
32,33,Pulp Fiction [Vinilo],Banda Sonora Original,4.6,578,Disco de vinilo,22.35
33,34,Mirándote A Los Ojos (3 CDs + DVD),José Luís Perales,4.8,167,CD de audio,17.99
34,35,La Ley Innata [Vinilo],Extremoduro,4.8,76,Disco de vinilo,17.99
35,36,Nunca El Tiempo Es Perdido [Vinilo],Manolo García,4.9,43,Disco de vinilo,19.99
36,37,Back To Black. Half Speed Master [Vinilo],Amy Winehouse,4.4,"2,057",Disco de vinilo,28.99
37,38,Heartbreak Weather,Niall Horan,4.8,9,CD de audio,16.99
38,39,La Cruz Del Mapa,Manuel Carrasco,4.5,286,CD de audio,6.99
39,40,Operación Triunfo 2020. Lo Mejor - Parte I,Varios,5.0,4,CD de audio,13.99
40,41,Greatest Hits,Guns N' Roses,4.6,"1,647",CD de audio,6.99
41,42,Dua Lipa - Future Nostalgia (Cd),Dua Lipa,4.8,51,CD de audio,19.98
42,43,Demarco Flamenco - Le sonrío al Agua (Cd…,Demarco Flamenco,4.9,17,CD de audio,7.99
43,44,Ultimate Sinatra [Vinilo],Frank Sinatra,4.8,"1,288",Disco de vinilo,29.99
44,45,Nevermind (Remaster),Nirvana,4.7,"1,636",CD de audio,9.39
45,46,Changes,Justin Bieber,4.7,135,CD de audio,11.99
46,47,Gold [Vinilo],ABBA,4.7,"2,330",Disco de vinilo,24.68
47,48,El Drogas - Sólo Quiero Brujas En Esta Noche Sin…,El Drogas,4.8,32,CD de audio,29.99
48,49,Ghosteen [Vinilo],Nick Cave And The Bad Seeds,4.7,751,Disco de vinilo,29.99
49,50,El Mal Querer,Rosalía,4.7,446,CD de audio,9.99
50,51,El Cor De La Terra,Txarango,4.7,35,CD de audio,15.99
51,52,Call Me By Your Name (Banda Sonora Original),Varios,4.7,212,CD de audio,14.99
52,53,EP2,Natalia Lacunza,5.0,10,CD de audio,9.99
53,54,León Benavente - Vamos a Volvernos Locos…,León Benavente,4.9,34,Disco de vinilo,21.99
54,55,"When We All Fall Asleep, Where Do We Go? (Pale…",Billie Eilish,4.5,"3,036",Disco de vinilo,24.69
55,56,Palmeras,India Martinez,4.5,57,CD de audio,13.99
56,57,Abbey Road - 50 Aniversario (2 CDs),The Beatles,4.8,"1,715",CD de audio,20.29
57,58,1999 O Como Generar Incendios De Nieve Con…,Love of Lesbian,4.6,52,Disco de vinilo,17.09
58,59,The New Abnormal [Vinilo],The Strokes,0,0,Disco de vinilo,27.67
59,60,Tubular Bells,Mike Oldfield,4.5,635,CD de audio,4.99
60,61,Fat of the Land [Vinilo],Prodigy,4.7,423,Disco de vinilo,20.99
61,62,Nuclear. Edición Especial,Leiva,4.8,96,CD de audio,29.99
62,63,Prometo - Edición Especial (2 CDs+ Blu-Ray),Pablo Alborán,4.5,84,CD de audio,14.99
63,64,Fifty Shades Of Grey,Varios,4.7,"2,143",CD de audio,3.99
64,65,Master Of Puppets Remastered [Vinilo],Metallica,4.5,"1,260",Disco de vinilo,24.03
65,66,La Cruz del Mapa - Directo Estadio…,Manuel Carrasco,4.8,151,CD de audio,22.90
66,67,Gigaton [Vinilo],Pearl Jam,4.4,86,Disco de vinilo,40.99
67,68,Humo Y Azar,Luis Eduardo Aute,5.0,5,CD de audio,10.52
68,69,The Prophet Speaks,Van Morrison,4.5,271,CD de audio,3.99
69,70,Cuando El Río Suena,Rozalén,4.7,97,CD de audio,6.99
70,71,Bohemian Rhapsody [Vinilo],Queen,4.7,"4,107",Disco de vinilo,45.11
71,72,Somos Jovenes: 50 Años,Duo Dinamico,4.1,6,CD de audio,9.03
72,73,Calm (Deluxe),5 Seconds of Summer,5.0,3,CD de audio,19.99
73,74,Los Ángeles,Rosalía,4.6,105,CD de audio,8.99
74,75,Viviendo Deprisa,Alejandro Sanz,4.7,23,CD de audio,7.99
75,76,Loquillo - El Último Clásico (Cd Digipack),Loquillo,4.9,59,CD de audio,10.49
76,77,Four,One Direction,4.8,"1,385",CD de audio,4.99
77,78,Just As I Am [Vinilo],Bill Withers,4.7,59,Disco de vinilo,21.99
78,79,Lo Mejor De La Música Del Cine - Volumen I,Film Shymphony Orchestra,4.6,30,CD de audio,21.99
79,80,Spoiler Re-Play,Aitana,4.7,15,CD de audio,15.90
80,81,Celtas Cortos - 30 Aniversario (3 CD),Celtas Cortos,4.9,30,CD de audio,8.99
81,82,El Mal Querer [Vinilo],Rosalía,4.7,446,Disco de vinilo,24.00
82,83,Legacy: The Very Best Of [Vinilo],David Bowie,4.7,643,Disco de vinilo,25.99
83,84,The Essential Elvis Presley [Vinilo],Elvis Presley,4.7,88,Disco de vinilo,22.99
84,85,Greatest Hits,The Police,4.6,518,CD de audio,8.63
85,86,B.S.O. Quentin Tarantino's Once Upon A Time In…,Vv.Aa,4.7,680,CD de audio,12.99
86,87,Dreamers [Vinilo],Elyella,5.0,2,Disco de vinilo,16.99
87,88,Kiwanuka [Vinilo],Michael Kiwanuka,4.6,372,Disco de vinilo,28.99
88,89,The Black Parade [Vinilo],My Chemical Romance,4.8,312,Disco de vinilo,21.99
89,90,Their Greatest Hits - Volúmenes 1 & 2 [Vinilo],Eagles,4.7,686,Disco de vinilo,33.99
90,91,Wish You Were Here,Pink Floyd,4.7,822,CD de audio,9.99
91,92,London Calling,The Clash,4.6,656,CD de audio,9.99
92,93,Mi Paraíso (CD Digipack),Los Secretos,4.7,93,CD de audio,7.49
93,94,Nevermind (Vinilo 180 Gr.) [Vinilo],Nirvana,4.7,"1,636",Disco de vinilo,15.96
94,95,Som Riu,Txarango,4.9,26,CD de audio,12.99
95,96,Mis Treinta Mejores Canciones,Jose Luis Perales,4.5,46,CD de audio,9.99
96,97,Sgt. Pepper’s - Anniversary Edition [Vinilo],The Beatles,4.7,"3,579",Disco de vinilo,27.99
97,98,Donde Nace El Infarto,Ciudad Jara,4.9,22,CD de audio,14.99
98,99,"Enemigos, Los -La Cuenta Atrás  /  La Vida Mata…",Enemigos,0,0,CD de audio,13.99
99,100,THE WAKE OF MAGELLAN',SAVATAGE,4.5,44,CD de audio,9.25
